Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change %
2023-12-19 00:00:00-05:00,37311.82031,37562.82813,37311.82031,37557.92188,272740000,0,0,0.675232434
2023-12-20 00:00:00-05:00,37520.12891,37641.30078,37073.03906,37082,303450000,0,0,-1.267167754
2023-12-21 00:00:00-05:00,37225.32031,37418.76172,37127.05078,37404.35156,253120000,0,0,0.869293896
2023-12-22 00:00:00-05:00,37349.26953,37534.51953,37268.87891,37385.96875,252970000,0,0,-0.049146187
2023-12-26 00:00:00-05:00,37405.89844,37617.98828,37371.82813,37545.32813,212420000,0,0,0.426254502
2023-12-27 00:00:00-05:00,37518.62109,37683.69922,37488.60156,37656.51953,245530000,0,0,0.296152442
2023-12-28 00:00:00-05:00,37661.51953,37778.85156,37650.98047,37710.10156,199550000,0,0,0.142291513
2023-12-29 00:00:00-05:00,37701.62891,37759.42969,37538.80078,37689.53906,234570000,0,0,-0.05452783
2024-01-02 00:00:00-05:00,37566.21875,37790.07813,37495.91016,37715.03906,350280000,0,0,0.067658031
2024-01-03 00:00:00-05:00,37629.23047,37629.23047,37401.85156,37430.19141,322010000,0,0,-0.75526279
2024-01-04 00:00:00-05:00,37425.28125,37716.41016,37425.28125,37440.33984,380220000,0,0,0.027112972
2024-01-05 00:00:00-05:00,37455.46094,37623.62109,37323.82031,37466.10938,299480000,0,0,0.068828251
2024-01-08 00:00:00-05:00,37327.37109,37692.92188,37249.23828,37683.01172,362200000,0,0,0.578929457
2024-01-09 00:00:00-05:00,37523.55078,37552.37891,37373.30078,37525.16016,289860000,0,0,-0.41889317
2024-01-10 00:00:00-05:00,37552.91016,37740.76953,37524.39844,37695.73047,279540000,0,0,0.454549193
2024-01-11 00:00:00-05:00,37747.14063,37801.89844,37424.28125,37711.01953,299540000,0,0,0.040559136
2024-01-12 00:00:00-05:00,37818.05078,37825.26953,37470.19141,37592.98047,279250000,0,0,-0.31300947
2024-01-16 00:00:00-05:00,37493.53906,37543.17969,37201.39063,37361.12109,378280000,0,0,-0.616762417
