,Dow Jones,Dow Jones,S&P 500,S&P 500,NASDAQ,NASDAQ
,Close,Change %,Close,Change %,Close,Change %
Date,,,,,,
2015-05-14 00:00:00-04:00,18252.24023,1.061709829,2121.100098,1.077928663,5050.799805,1.387277492
2015-05-15 00:00:00-04:00,18272.56055,0.111330512,2122.72998,0.076841391,5048.290039,-0.049690459
2015-05-18 00:00:00-04:00,18298.88086,0.144042825,2129.199951,0.304794805,5078.439941,0.597229995
2015-05-19 00:00:00-04:00,18312.39063,0.073828371,2127.830078,-0.064337454,5070.029785,-0.165605114
2015-05-20 00:00:00-04:00,18285.40039,-0.147387826,2125.850098,-0.093051625,5071.740234,0.033736473
2015-05-21 00:00:00-04:00,18285.74023,0.001858552,2130.820068,0.233787449,5090.790039,0.375606869
2015-05-22 00:00:00-04:00,18232.01953,-0.293784678,2126.060059,-0.22338863,5089.359863,-0.028093396
2015-05-26 00:00:00-04:00,18041.53906,-1.044757924,2104.199951,-1.02819802,5032.75,-1.11231795
2015-05-27 00:00:00-04:00,18162.99023,0.673175229,2123.47998,0.916264126,5106.589844,1.467186801
2015-05-28 00:00:00-04:00,18126.11914,-0.203001231,2120.790039,-0.12667609,5097.97998,-0.168602992
2015-05-29 00:00:00-04:00,18010.67969,-0.636868004,2107.389893,-0.631846917,5070.029785,-0.548260201
2015-06-01 00:00:00-04:00,18040.36914,0.164843602,2111.72998,0.205946128,5082.930176,0.25444408
2015-06-02 00:00:00-04:00,18011.93945,-0.157589278,2109.600098,-0.100859619,5076.52002,-0.126111436
2015-06-03 00:00:00-04:00,18076.26953,0.357152423,2114.070068,0.211887111,5099.22998,0.447352928
2015-06-04 00:00:00-04:00,17905.58008,-0.944273667,2095.840088,-0.862316758,5059.120117,-0.78658667
2015-06-05 00:00:00-04:00,17849.46094,-0.313417049,2092.830078,-0.143618293,5068.459961,0.184613995
2015-06-08 00:00:00-04:00,17766.55078,-0.464496696,2079.280029,-0.647450979,5021.629883,-0.923950835
2015-06-09 00:00:00-04:00,17764.03906,-0.014137346,2080.149902,0.0418353,5013.870117,-0.154526833
2015-06-10 00:00:00-04:00,18000.40039,1.330560732,2105.199951,1.204242483,5076.689941,1.252920853
2015-06-11 00:00:00-04:00,18039.36914,0.21648824,2108.860107,0.173862642,5082.509766,0.114638166
2015-06-12 00:00:00-04:00,17898.83984,-0.779014475,2094.110107,-0.699429988,5051.100098,-0.617995231
2015-06-15 00:00:00-04:00,17791.16992,-0.601546932,2084.429932,-0.462257249,5029.970215,-0.418322393
2015-06-16 00:00:00-04:00,17904.48047,0.63689205,2096.290039,0.568985661,5055.549805,0.508543565
2015-06-17 00:00:00-04:00,17935.74023,0.174591861,2100.439941,0.19796413,5064.879883,0.184551206
2015-06-18 00:00:00-04:00,18115.83984,1.004138146,2121.23999,0.990271058,5132.950195,1.343966966
2015-06-19 00:00:00-04:00,18015.94922,-0.55139936,2109.98999,-0.530350175,5117,-0.310741283
2015-06-22 00:00:00-04:00,18119.7793,0.576323106,2122.850098,0.609486655,5153.970215,0.722497847
2015-06-23 00:00:00-04:00,18144.07031,0.13405801,2124.199951,0.06358685,5160.089844,0.11873621
2015-06-24 00:00:00-04:00,17966.07031,-0.981036763,2108.580078,-0.735329696,5122.410156,-0.730213788
2015-06-25 00:00:00-04:00,17890.35938,-0.421410671,2102.310059,-0.29735743,5112.189941,-0.199519651
2015-06-26 00:00:00-04:00,17946.67969,0.314808167,2101.48999,-0.039007964,5080.509766,-0.619698723
2015-06-29 00:00:00-04:00,17596.34961,-1.952060683,2057.639893,-2.086619392,4958.470215,-2.402112316
2015-06-30 00:00:00-04:00,17619.50977,0.131619096,2063.110107,0.265848989,4986.870117,0.572755328
2015-07-01 00:00:00-04:00,17757.91016,0.785495127,2077.419922,0.693604011,5013.120117,0.526382267
2015-07-02 00:00:00-04:00,17730.10938,-0.156554352,2076.780029,-0.030802274,5009.209961,-0.077998455
2015-07-06 00:00:00-04:00,17683.58008,-0.262430964,2068.76001,-0.386175686,4991.939941,-0.344765336
2015-07-07 00:00:00-04:00,17776.91016,0.527778186,2081.340088,0.608097511,4997.459961,0.110578645
2015-07-08 00:00:00-04:00,17515.41992,-1.470954356,2046.680054,-1.665274905,4909.759766,-1.754895407
2015-07-09 00:00:00-04:00,17548.61914,0.189542808,2051.310059,0.226220257,4922.399902,0.257449189
2015-07-10 00:00:00-04:00,17760.41016,1.206881373,2076.620117,1.23384851,4997.700195,1.529747572
2015-07-13 00:00:00-04:00,17977.67969,1.223336226,2099.600098,1.106604924,5071.509766,1.476870709
2015-07-14 00:00:00-04:00,18053.58008,0.422192363,2108.949951,0.445315921,5104.890137,0.658193963
2015-07-15 00:00:00-04:00,18050.16992,-0.018889086,2107.399902,-0.073498607,5098.939941,-0.116558734
2015-07-16 00:00:00-04:00,18120.25,0.388251625,2124.290039,0.801468041,5163.180176,1.259874309
2015-07-17 00:00:00-04:00,18086.44922,-0.186535954,2126.639893,0.110618299,5210.140137,0.909516216
2015-07-20 00:00:00-04:00,18100.41016,0.077190041,2128.280029,0.077123387,5218.859863,0.167360692
2015-07-21 00:00:00-04:00,17919.28906,-1.000646351,2119.209961,-0.426168936,5208.120117,-0.20578721
2015-07-22 00:00:00-04:00,17851.03906,-0.380874485,2114.149902,-0.23877099,5171.77002,-0.697950447
2015-07-23 00:00:00-04:00,17731.91992,-0.667295277,2102.149902,-0.567604028,5146.410156,-0.490351721
2015-07-24 00:00:00-04:00,17568.5293,-0.921449148,2079.649902,-1.070332804,5088.629883,-1.122729664
2015-07-27 00:00:00-04:00,17440.58984,-0.728230866,2067.639893,-0.577501519,5039.779785,-0.959985277
2015-07-28 00:00:00-04:00,17630.26953,1.087576104,2093.25,1.238615463,5089.209961,0.98080031
